"Order ID","Order Key",Title,"Order Total","Completed Date","Order Status","Discount Amount ","Coupon Code","Coupons Used","Total Discount Amount","Total Fee Amount","Fee Taxes","Refund Total","Refund ID","Refund Amounts","Refund Reason","Refund Date","Refund Author Email"
1338,wc_order_5c5a334439ebc,"Order - February 6, 2019 @ 12:07 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1347,wc_order_5c5ab9908eed7,"Order - February 6, 2019 @ 09:40 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1349,wc_order_5c5af288512da,"Order - February 7, 2019 @ 01:43 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1351,wc_order_5c5b643ed05e9,"Order - February 7, 2019 @ 09:48 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1357,wc_order_5c5b8e014f941,"Order - February 7, 2019 @ 12:46 PM",199.90,2019-03-27,wc-completed,,,,0,,,0,,,,,
1359,wc_order_5c5b8fdfb5de8,"Order - February 7, 2019 @ 12:54 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1367,wc_order_5c5bc40558faa,"Order - February 7, 2019 @ 04:37 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1370,wc_order_5c5bf218a0ab7,"Order - February 7, 2019 @ 07:53 PM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1373,wc_order_5c5c8412b7c96,"Order - February 8, 2019 @ 06:16 AM",379.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1378,wc_order_5c5cfbc4bc650,"Order - February 8, 2019 @ 02:47 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1381,wc_order_5c5d09d9eddbf,"Order - February 8, 2019 @ 03:47 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1385,wc_order_5c5e01a3dfb73,"Order - February 9, 2019 @ 09:24 AM",199.90,2019-03-27,wc-completed,,,,0,,,0,,,,,
1387,wc_order_5c5e20239b22c,"Order - February 9, 2019 @ 11:34 AM",199.90,2019-03-27,wc-completed,,,,0,,,0,,,,,
1391,wc_order_5c5e386d33874,"Order - February 9, 2019 @ 01:18 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1393,wc_order_5c5e4e33d73d1,"Order - February 9, 2019 @ 02:51 PM",379.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1399,wc_order_5c5ee0fb58c43,"Order - February 10, 2019 @ 01:17 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1401,wc_order_5c5f00d125637,"Order - February 10, 2019 @ 03:33 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1403,wc_order_5c5f4ebfacfa7,"Order - February 10, 2019 @ 09:05 AM",44.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1410,wc_order_5c5fdbcfe406a,"Order - February 10, 2019 @ 07:07 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1412,wc_order_5c6017c4b39a7,"Order - February 10, 2019 @ 11:23 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1416,wc_order_5c60b3fdc7756,"Order - February 11, 2019 @ 10:30 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1419,wc_order_5c60d7e6ca7ac,"Order - February 11, 2019 @ 01:03 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1422,wc_order_5c60e38fe5409,"Order - February 11, 2019 @ 01:53 PM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1427,wc_order_5c6150ae8d3dc,"Order - February 11, 2019 @ 09:38 PM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1434,wc_order_5c6236ce1c768,"Order - February 12, 2019 @ 02:00 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1436,wc_order_5c623a91e1b85,"Order - February 12, 2019 @ 02:16 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1493,wc_order_5c62bb092c807,"Order - February 12, 2019 @ 11:24 PM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1495,wc_order_5c62c51374142,"Order - February 13, 2019 @ 12:07 AM",199.95,,wc-pending,,,,0,,,0,,,,,
1497,wc_order_5c62d179cb048,"Order - February 13, 2019 @ 01:00 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1502,wc_order_5c633cc5622c0,"Order - February 13, 2019 @ 08:38 AM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1505,wc_order_5c63536a3fb9c,"Order - February 13, 2019 @ 10:14 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1522,wc_order_5c63a1c342f55,"Order - February 13, 2019 @ 03:49 PM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1525,wc_order_5c63a8a71f0f4,"Order - February 13, 2019 @ 04:18 PM",89.95,,wc-cancelled,,,,0,,,0,,,,,
